UniprotID	logFC	AveExpr	t	P.Value	adj.P.Val	B	PG.Genes	PG.ProteinDescriptions	contrast
Q9H7B2	1.38746562597949	13.3967991732032	3.11086261641383	0.00741051917467946	0.027856618277684	-3.21551734988715	RPF2	Ribosome production factor 2 homolog	K57A_vs_Beads_str
Q07666	-0.690444648852077	15.4930690849447	-3.10989496870217	0.00742497766393047	0.0278783623970474	-3.21742668597069	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1	K57A_vs_Beads_str
Q96PU8	0.622045798949902	13.5491334878357	3.10079460485325	0.0075623272390488	0.0283524214197514	-3.23537769614059	QKI	Protein quaking	K57A_vs_Beads_str
Q8WW12	-0.585027550771606	15.2846015650132	-3.10036459172439	0.00756887914690315	0.0283524214197514	-3.23622567143818	PCNP	PEST proteolytic signal-containing nuclear protein	K57A_vs_Beads_str
O75822	-0.539843072797535	15.2791878083866	-3.09848287739214	0.00759761604915108	0.0283955068827664	-3.23993609716072	EIF3J	Eukaryotic translation initiation factor 3 subunit J	K57A_vs_Beads_str
P48556	-0.400429180883581	15.054979179074	-3.09845445048654	0.00759805100161141	0.0283955068827664	-3.23999214690317	PSMD8	26S proteasome non-ATPase regulatory subunit 8	K57A_vs_Beads_str
Q05048	-0.615335226380134	13.4095418502133	-3.09590410497558	0.00763717353684833	0.0285085664894663	-3.24502029236254	CSTF1	Cleavage stimulation factor subunit 1	K57A_vs_Beads_str
Q9H4W6	1.08128339468028	13.7493852261715	3.09148319072767	0.00770546329061213	0.0287301148677812	-3.25373444684114	EBF3	Transcription factor COE3	K57A_vs_Beads_str
O43598	1.77139200055161	13.9324325659911	3.09281967352597	0.00775774590474173	0.0288915357333023	-3.25683287941022	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	K57A_vs_Beads_str
P31947	-5.41615234486291	11.932861200547	-3.09352621594612	0.00779745320733424	0.0290058039448753	-3.25939843234535	SFN	14-3-3 protein sigma	K57A_vs_Beads_str
P47755	-1.06972060640745	14.5934421110677	-3.08463232246333	0.00781248299760461	0.0290281160165332	-3.26723348257746	CAPZA2	F-actin-capping protein subunit alpha-2	K57A_vs_Beads_str
Q8IYB5	0.641461532927412	14.2399011190075	3.07970224312107	0.00789040523683331	0.0292837903362382	-3.27694408686674	SMAP1	Stromal membrane-associated protein 1	K57A_vs_Beads_str
Q9BXK1	-1.33399909640716	13.4224294132988	-3.07895895237868	0.00790221974183207	0.0292938111306208	-3.27840785093601	KLF16	Krueppel-like factor 16	K57A_vs_Beads_str
P06899;P23527;P33778;Q16778	0.742468000330756	17.1615208262874	3.0770242733664	0.00793305323189762	0.0293656573341862	-3.28221748569726	H2BC11;H2BC17;H2BC3;H2BC21	Histone H2B type 1-J;Histone H2B type 1-O;Histone H2B type 1-B;Histone H2B type 2-E	K57A_vs_Beads_str
Q7L0Y3	0.39714098065288	16.7225798012473	3.07659727790385	0.00793987436944861	0.0293656573341862	-3.28305823043345	TRMT10C	tRNA methyltransferase 10 homolog C	K57A_vs_Beads_str
Q16777;Q6FI13	6.23465513499759	12.540631807891	3.08348453529962	0.00795564728754563	0.0293901728530709	-3.27907702386051	H2AC20;H2AC18	Histone H2A type 2-C;Histone H2A type 2-A	K57A_vs_Beads_str
O60841	1.29768776282582	13.931816620106	3.06820369972746	0.00807514219207901	0.0297973673999333	-3.29958020633989	EIF5B	Eukaryotic translation initiation factor 5B	K57A_vs_Beads_str
P55795	-0.524341527776958	15.0902320157978	-3.06644734853263	0.00810373360716251	0.0298685777676838	-3.30303625761547	HNRNPH2	Heterogeneous nuclear ribonucleoprotein H2	K57A_vs_Beads_str
O15294	-0.403720516233752	14.3591189461177	-3.0644398129324	0.00813653649191206	0.0299551297651837	-3.30698607948175	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	K57A_vs_Beads_str
P56385	-0.471259805101976	16.7963138945982	-3.0624588465005	0.00816903377302764	0.030040359893033	-3.31088310585098	ATP5ME	ATP synthase subunit e, mitochondrial	K57A_vs_Beads_str
Q5W111	1.67789395531069	13.4143785310253	3.06066395868856	0.00819858913778528	0.030114589130105	-3.31441362365642	SPRYD7	SPRY domain-containing protein 7	K57A_vs_Beads_str
Q6IAA8	0.692908608534241	14.2346979355858	3.05946700951075	0.00821835725582511	0.0301527399774223	-3.31676776746853	LAMTOR1	Ragulator complex protein LAMTOR1	K57A_vs_Beads_str
Q86U44	1.03211965207984	13.4913668670301	3.0585404605237	0.00823369191004975	0.0301745562131128	-3.31858996094878	METTL3	N6-adenosine-methyltransferase catalytic subunit	K57A_vs_Beads_str
Q9NP97	0.474861580527694	16.8521151759053	3.0569951414629	0.00825933026099794	0.030234040385931	-3.32162880134483	DYNLRB1	Dynein light chain roadblock-type 1	K57A_vs_Beads_str
Q9UJX5	-0.503785656156294	14.5586876627037	-3.05415122922078	0.00830671969681216	0.0303729204841346	-3.3272204660365	ANAPC4	Anaphase-promoting complex subunit 4	K57A_vs_Beads_str
Q96A35	0.695187932340536	15.8024187107978	3.05197802731554	0.0083431136021523	0.030471326269679	-3.33149265679911	MRPL24	39S ribosomal protein L24, mitochondrial	K57A_vs_Beads_str
Q8WYQ5	1.0864975465612	13.7774842430917	3.04948998093567	0.00838497337083154	0.0305894488238962	-3.33638300312912	DGCR8	Microprocessor complex subunit DGCR8	K57A_vs_Beads_str
